82210001;Sac imprimé BT21
82210008;ceinture similicuir nouée
82210009;Bonnet laine 
82210010;CACHE-COL LAINE
82211006;Sweat longue imprimé
82211007;Pull à ajourage
82211008;Body culotte 
82211009;Pull à boutons 
82211010;Pull basic
82211011;Pull en maille côtelée
82211012;Pull côtelé bleu noué sur le devant
82211013;Pull col rond
82211014;Pull en maille texturé
82211017;Pull basic côtelé
82211018;Sweat imprimé
82211025;PULL EN MAILLE AJUSTE 
82211026;Sweat imprimé avec lacet
82211027;Sweat avec impression
82211028;Sweat polaire à poche kangourou
82211029;Sweat imprimé  en molleton
82211039;Pull longue
82211040;Pull boutonnée
82211049;Blouse manches bouffantes 
82211901;Pull maille  fine  ajusté 
82211902;Pull  en maille uni cotelé 
82211903;Pull en maille torsadée
82211904;Pull en maille
82211905;Pull basique à col roulé
82211906;Pull en maille 
82211907;Pull torsadée
82211908;pull en maille 
82211909;Pull en maille 
82211910;Pull en maille  
82211912;Pull en maille court 
82211914;Pull à rayé
82211915;Pull basic en maille fine
82211916;Pull en maille côtelée
82212001;Ensemble domicile imprimé
82213002;Veste jean longue
82213003;Veste jean avec lacet
82213005;Blazer ouvert à double boutonnage
82213006;Trench à détails semi-cuir
82213007;Manteau croisé
82213011;Parka à capuche en forrure 
82213012;Surchemise à col chemise 
82213013;Ensemble en maille brodé
82213015;Veste en cuir synthétique  
82213017;Blouson en similicuir 
82213018;Doudoune sans manches avec poches
82213019;Trench en similicuir à ceinture
82213020;Doudoune matelassé
82213029;Manteau basic 
82213036;Manteau a col châle
82213037;Blazer sans col 
82213042;Gilet manteau à ceinture 
82213205;Blazer ouvert à double boutonnage
82213229;Manteau basic 
82213903;Gilet avec ceinture
82213905;Cardigan en maille 
82214002;Robe longue à lacet
82214005;Robe courte similicuir
82214006;Robe courte imprimé animal 
82214007;Robe longue en maille texturé
82214008;Robe imprimé courte
82214009;Robe à col claudine
82214019;ROBE À ÉPAULETTES
82214029;Robe a col revers 
82215001;Blouse à lacet 
82215008;Blouse à col montant
82215009;Chemisier à col rond
82215019;liquette brodée 
82215020;Chemisier carreaux
82215021;Tunique imprimée
82215027;Liquette imprimé à col classique
82215028;Blouse à manches bouffantes
82215029;Blouse à col rond
82216001;Surchemise carreaux
82216002;Chemise à carreaux
82216004;Chemise à col officier
82216005;Chemise à manches bouffantes
82216007;Surchemise à ceinture 
82216008;Surchemise en flanel
82216009;Chemise imprimé géometrique
82216010;Surchemise effet cuir 
82216011;Chemise à col brodé 
82216012;Surchemise  à carreaux 
82216013;Chemise à volants
82216021;Chemise longue en similicuir
82216024;Chemisier boutonnée sur le devant
82216025;Tunique avec pate boutonnés
82217001;Salopette mom-fit
82217002;Combi-pantalon bi-matiére
82217007;Salopette en jean slouchy
82218003;Jupe midi à boutons 
82219001;Jean gris skinny
82219002;Jean mom-fit
82219003;Jean flare
82219007;Pantalon carotte à ceinture
82219008;Legging en similicuir à découpe
82219009;Jeans flare à poches plaquées
82219010;Legging en similicuir 
82219011;Jeans flare
82219014;Jeans slouchy à taille plissé
82219015;Pantalon flare taille haute
82219019;Jeans mom-feat
82219020;Pantalon similicuir coupe flaire 
82219021;Legging pied de poule
82219022;Legging pied de poule
82219024;Pantalon pied de poule
82219025;Pantalon large
82219026;Pantalon taille normal
82219027;Legging flare noir 
82219044;Pantalon coupe carotte
82219045;Pantalon taille haute
82219051;Jeans reguler taille haute 
82219053;Jeans skinny vintage
82219202;Pantalon jean mom-fit simple
83211004;Pull de grosesse
83211901;Pull de grosesse en laine jacquard
83213001;Cape imprimée à carreaux
83213901;Gilet en laine avec ceinture
83214003;Robe de grosesse fleurie
83215001;Blouse imprimée à carreaux
83215002;Blouse de grosesse
83217002;Salopette denim de grosesse
83219002;Pantalon denim skinny
83219004;Pantalon grosesse regular fit
83219005;Legging de grosesse
