21H;82210004;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82211042;60% PL.POLYESTER 40% PU.POLYURETHANE ;30211 : polyester;;
21H;82211043;100% PL.POLYESTER ;30211 : polyester;;
21H;82211044;97% VI.VISCOSE 3% EA.ELASTHANNE ;30120 : viscose;;
21H;82211045;80% RY.RAYON 20% PA.POLYAMIDE ;30120 : viscose;;
21H;82213040;100% PL.POLYESTER ;30211 : polyester;;
21H;82214022;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82214023;100% VI.VISCOSE ;30120 : viscose;;
21H;82216022;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82216026;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82219050;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82219052;50% PL.POLYESTER 47% VI.VISCOSE 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82219056;80% RY.RAYON 20% PA.POLYAMIDE ;30120 : viscose;;
21H;82219214;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82211023;80% RY.RAYON 20% PA.POLYAMIDE ;30120 : viscose;;
21H;82211031;80% RY.RAYON 20% PA.POLYAMIDE ;30120 : viscose;;
21H;82211032;50% CO.COTON 50% PL.POLYESTER ;30211 : polyester;;
21H;82211038;80% RY.RAYON 20% PA.POLYAMIDE ;30120 : viscose;;
21H;82211050;50% CO.COTON 50% PL.POLYESTER ;40120 : coton;;
21H;82211053;80% RY.RAYON 20% PA.POLYAMIDE ;30120 : viscose;;
21H;82212004;50% CO.COTON 50% PL.POLYESTER ;30211 : polyester;;
21H;82213041;97% VI.VISCOSE 3% EA.ELASTHANNE ;30120 : viscose;;
21H;82213907;100% PC.ACRYLIQUE ;10000 I : laine;;
21H;82214010;97% VI.VISCOSE 3% EA.ELASTHANNE ;30120 : viscose;;
21H;82214027;97% VI.VISCOSE 3% EA.ELASTHANNE ;30120 : viscose;;
21H;82214028;60% PL.POLYESTER 40% PU.POLYURETHANE ;30211 : polyester;;
21H;82214210;77% VI.VISCOSE 20% PL.POLYESTER 3% EA.ELASTHANNE ;30120 : viscose;;
21H;82216023;60% PL.POLYESTER 40% PU.POLYURETHANE ;30211 : polyester;;
;82216027;60% PL.POLYESTER 40% PU.POLYURETHANE ;30211 : polyester;;
21H;82219029;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82219030;50% PL.POLYESTER 47% VI.VISCOSE 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82219032;55% RY.RAYON 25% LI.LIN 20% PL.POLYESTER ;30211 : polyester;;
21H;82219229;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82219329;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82213001;65% TN.TENCEL 20% RY.RAYON 10% WO.LAINE 5% EA.ELASTHANNE ;40120 : coton;;
21H;82213031;50% PL.POLYESTER 47% VI.VISCOSE 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82213901;100% PC.ACRYLIQUE ;10000 I : laine;;
21H;82214015;100% VI.VISCOSE ;30120 : viscose;;
21H;82214016;100% VI.VISCOSE ;30120 : viscose;;
21H;82214030;100% PL.POLYESTER ;30211 : polyester;;
21H;82214230;100% PL.POLYESTER ;30211 : polyester;;
21H;82215012;66% CO.COTON 30% PL.POLYESTER 4% EA.ELASTHANNE ;40120 : coton;;
21H;82215014;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82215015;100% VI.VISCOSE ;30120 : viscose;;
21H;82216017;100% VI.VISCOSE ;30120 : viscose;;
21H;82216018;100% VI.VISCOSE ;30120 : viscose;;
21H;82219039;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82219040;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82219215;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82211035;100% PL.POLYESTER ;30211 : polyester;;
21H;82211346;55% RY.RAYON 25% PA.POLYAMIDE 20% PL.POLYESTER ;30120 : viscose;;
21H;82212003;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82213022;100% PL.POLYESTER ;30211 : polyester;;
21H;82213904;100% PC.ACRYLIQUE ;10000 I : laine;;
21H;82213909;100% PC.ACRYLIQUE ;10000 I : laine;;
21H;82214012;100% PL.POLYESTER ;30211 : polyester;;
21H;82214013;50% PL.POLYESTER 47% VI.VISCOSE 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82214024;50% PL.POLYESTER 47% VI.VISCOSE 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82215011;100% VI.VISCOSE ;30120 : viscose;;
21H;82216015;66% CO.COTON 30% PL.POLYESTER 4% EA.ELASTHANNE ;40120 : coton;;
21H;82216016;100% VI.VISCOSE ;30120 : viscose;;
21H;82219034;97% CO.COTON 3% EA.ELASTHANNE ;40120 : coton;;
21H;82219055;50% PL.POLYESTER 47% VI.VISCOSE 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82219062;80% RY.RAYON 20% PA.POLYAMIDE ;30120 : viscose;;
21H;82213032;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82213033;100% PL.POLYESTER ;30211 : polyester;;
21H;82213034;100% PL.POLYESTER ;30211 : polyester;;
21H;82213035;60% PL.POLYESTER 40% PU.POLYURETHANE ;30211 : polyester;;
21H;82213902;100% PC.ACRYLIQUE ;10000 I : laine;;
21H;82214014;97% VI.VISCOSE 3% EA.ELASTHANNE ;30120 : viscose;;
21H;82214017;100% VI.VISCOSE ;30120 : viscose;;
21H;82215016;100% VI.VISCOSE ;30120 : viscose;;
21H;82216020;100% VI.VISCOSE ;30120 : viscose;;
21H;82216028;100% VI.VISCOSE ;30120 : viscose;;
21H;82218002;60% PL.POLYESTER 40% PU.POLYURETHANE ;30211 : polyester;;
21H;82219041;50% PL.POLYESTER 47% VI.VISCOSE 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82219042;97% PL.POLYESTER 3% EA.ELASTHANNE ;30211 : polyester;;
21H;82219043;97% VI.VISCOSE 3% EA.ELASTHANNE ;30120 : viscose;;
;;;;;
