"Reference Families",Services,clientName,urlWebSite,WebSiteType,createdDate,youtube,taches_bd,taches,main_page,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured",ID,Title,Content,Excerpt,"Post Type",Permalink,Date
"Site web","Site Web",https://la-griffe.com/wp-content/themes/lagriffe/images/logo_la_griffe.gif,la-griffe.com,"Site web dynamique",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/01/La-griffe-min.jpg|http://hypermedia.com.tn/wp-content/uploads/2019/01/SMS-Marketing-Feature-Image-1.png,La-griffe-min.jpg|SMS-Marketing-Feature-Image-1.png,/home/hypermed/public_html/wp-content/uploads/2019/01/La-griffe-min.jpg|/home/hypermed/public_html/wp-content/uploads/2019/01/SMS-Marketing-Feature-Image-1.png,1492|523,La-griffe-min|SMS-Marketing-Feature-Image,|,|,|,http://hypermedia.com.tn/wp-content/uploads/2019/01/La-griffe-min.jpg,519,"Création d'un site web pour : La Griffe","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour la société La Griffe Internationale</p>
La Griffe, désormais leader de l’étiquetage, anticipe sur les grandes mutations de la filière pour offrir la gamme la plus complète et la plus diversifiée pour satisfaire une clientèle de plus en plus exigeante de par les conditions du marché international.","Création d'un site web dynamique pour la société La Griffe Internationale. La Griffe, désormais leader de l’étiquetage, anticipe sur les grandes mutations de la filière pour offrir la gamme la plus complète et la plus diversifiée.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-dynamique-pour-la-griffe-internationale/,2019-01-21
E-marketing,,,,,,,,,,http://hypermedia.com.tn/wp-content/uploads/2019/01/SEO-a.png,SEO-a.png,/home/hypermed/public_html/wp-content/uploads/2019/01/SEO-a.png,414,SEO-a,,,,http://hypermedia.com.tn/wp-content/uploads/2019/01/SEO-a.png,525,"e-marketing 11","Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un imprimeur anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.",,reference,http://hypermedia.com.tn/reference/e-marketing-11/,2019-01-21
"Community Management",,,https://www.facebook.com/abscomputer.tn/,,,,,,,http://hypermedia.com.tn/wp-content/uploads/2019/01/abs.jpg|http://hypermedia.com.tn/wp-content/uploads/2019/01/abs_face.jpg,abs.jpg|abs_face.jpg,/home/hypermed/public_html/wp-content/uploads/2019/01/abs.jpg|/home/hypermed/public_html/wp-content/uploads/2019/01/abs_face.jpg,1067|1046,abs|abs_face,|,|,|,http://hypermedia.com.tn/wp-content/uploads/2019/01/abs.jpg,526,"ABS Computer",,"<li>Conception graphique</li>
<li>Sponsorisation</li>",reference,http://hypermedia.com.tn/reference/abs/,2019-01-21
"Design Graphique",,,,,,,,,,,,,,,,,,,528,"Design Graphique","Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un imprimeur anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.",,reference,http://hypermedia.com.tn/reference/design-graphique/,2019-01-21
"Site web","Site Web",http://quattro.tn/wp-content/uploads/2018/09/logo_quattro-2.gif,www.quattro.tn,"Site web vitrine",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",aaaaaaa,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Quattro-min.jpg,Quattro-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/Quattro-min.jpg,1491,Quattro-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Quattro-min.jpg,942,"Création d'un site web pour : QUATTRO","<p class=""title_project""><strong>Création d'un site web vitrine</strong> pour la société Quattro</p>
L'équipe de Quattro s’occupe de la touche créative et tendance, vous assure un travail sur mesure et personnalisé et vous accompagne dans le choix de toute la boiserie de votre maison à savoir ; les cuisines équipées, les dressings, les portes intérieures et extérieures ainsi que les meubles TV et salle de bain.","Création d'un site web vitrine pour la société Quattro. Avec Quattro Tunis et Sfax, découvrez toutes les nouvelles tendances de cuisines, dressings, portes et des meubles TV",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-vitrine-pour-quattro/,2019-08-16
"Site web","Site Web",http://hypermedia.com.tn/wp-content/uploads/2019/08/logo-urbancar37.jpg,www.urbancar37.com,"Site web dynamqiue",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/urbancar-min.jpg,urbancar-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/urbancar-min.jpg,923,urbancar-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/urbancar-min.jpg,953,"Création d'un site web pour: Urban Car","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour Urban Car</p>
Le concessionnaire automobile de luxe URBAN CARS, implanté en France, est spécialisé dans la vente de véhicules.","Création d'un site web dynamique pour l'agence automobile Urban Car . Le concessionnaire automobile de luxe GOLDEN CARS, implanté en France, est spécialisé dans la vente de véhicules haut de gamme.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-dynamique-pour-urban-car/,2019-08-19
"Site web","Site Web",https://concept-engineering.fr/wp-content/themes/concept/images/logo.png,www.concept-engineering.fr/,"Site web vitrine",2018,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Concept-Engineering-min.jpg,Concept-Engineering-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/Concept-Engineering-min.jpg,1488,Concept-Engineering-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/Concept-Engineering-min.jpg,956,"Création d'un site web pour : Groupe Concept Engineering","<p class=""title_project""><strong>Création d'un site web vitrine</strong> pour la société Groupe Concept Engineering</p>
CONCEPT Engineering.Breizh est un bureau d’études techniques pluridisciplinaire indépendant de 3 salariés créé le 8 juin 2017 à Ergué-Gabéric sous forme d’une SAS. La société est dirigée par Monsieur Ayman FAKHFAKH. Concept Engineering.Breizh est identifié comme spécialiste de la conception de bâtiments de haute technicité sur la région bretonne. L’entreprise dispose de deux locaux : un à Quimper et un autre à Douarnenez.","Création d'un site web vitrine pour la société Groupe Concept Engineering. Groupe Concept Engineering est identifié comme spécialiste de la conception de bâtiments de haute technicité sur la région bretonne.",reference,http://hypermedia.com.tn/reference/groupe-concept-engineering/,2019-08-19
"Site web","Site Web",http://suiteshotellescharmilles.com/wp-content/uploads/2018/09/logo_suite_charmilles-3.jpg,www.suiteshotellescharmilles.com,"Site web dynamique",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/suites-hotelles-charmilles-min.jpg,suites-hotelles-charmilles-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/suites-hotelles-charmilles-min.jpg,1486,suites-hotelles-charmilles-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/suites-hotelles-charmilles-min.jpg,958,"Création d'un site web pour les Suites Hôtel Les Charmilles","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour les Suites Hôtel Les Charmilles & Spa</p>
Suites Hôtel Les Charmilles & Spa sont situés au parc hôtelier de 9 hectares, en bordure de mer de Carthage Thalasso Resort, dans la banlieue résidentielle de Tunis, sur les côtes de Carthage, pieds dans l'eau, à 20 mn de l'Aéroport International de Tunis-Carthage, la ville historique de Carthage est à 7 km, Sidi Bou Said est à 8 km, 20 km du centre-ville de Tunis et à 15 mn des espaces des principaux centres de foires et expositions et en face du centre commerciale Gammarth Center.","Création d'un site web dynamique pour les Suites Hôtel Les Charmilles & Spa. Suites Hôtel Les Charmilles & Spa sont situés au parc hôtelier de 9 hectares, en bordure de mer de Carthage Thalasso Resort.",reference,http://hypermedia.com.tn/reference/creation-dun-site-web-pourles-suites-hotel-les-charmilles-spa/,2019-08-19
"Site web","Site Web",https://abscomputer.tn/wp-content/themes/abs/images/logo.png,www.abscomputer.tn,"Site web dynamique",2019,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/ABS-min.jpg,ABS-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/ABS-min.jpg,1484,ABS-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/ABS-min.jpg,959,"Création d'un site web pour :Abs Computer","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour la société ABS Computer</p>
Depuis plus de 23 ans, ABS COMPUTER a eu pour mission de concevoir et de développer des logiciels de gestion professionnels, en mettant en œuvre les meilleures solutions technologiques adaptées aux besoins du marché et à ses impératifs. Depuis sa création, ABS COMPUTER a eu pour vocation d’être leader dans ce domaine et le meilleur partenaire informatique de ses clients à travers ses services de haute qualité fournis.","Création d'un site web vitrine pour la société ABS Computer. ABS COMPUTER a eu pour mission de concevoir et de développer des logiciels de gestion professionnels, adaptées aux besoins du marché et à ses impératifs.",reference,http://hypermedia.com.tn/reference/abs-computer/,2019-08-19
"Site web","Site Web",https://ste-bmms.com/wp-content/themes/bmms/images/logo.png,www.ste-bmms.com,"Site web dynamique",2018,,"<div class=""row"">
<div class=""col-md-12"">
  <h3 class=""titre_single_"">
  Les taches <span>effectuées</span>
  </h3>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-lightbulb""></span>
  </div>
  <p>Conseil et stratégie digitale</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-startup""></span>
  </div>
  <p>Référencement (SEO)</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-smartphone1""></span>
  </div>
  <p>Full responsive design</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-pen""></span>
  </div>
  <p>Conception graphique et ergonomique</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-e-learning""></span>
  </div>
  <p>Intégration E-catalogue</p>
</div>
<div class=""col-md-4 project_service"">
  <div class=""iconhy text-center"">
    <span class=""hyperfont-website""></span>
  </div>
  <p>Intégration CMS</p>
</div>
</div>",,,http://hypermedia.com.tn/wp-content/uploads/2019/08/BMMS-min.jpg,BMMS-min.jpg,/home/hypermed/public_html/wp-content/uploads/2019/08/BMMS-min.jpg,1482,BMMS-min,,,,http://hypermedia.com.tn/wp-content/uploads/2019/08/BMMS-min.jpg,960,"Création d'un site web pour :BMMS","<p class=""title_project""><strong>Création d'un site web dynamique</strong> pour la société BMMS</p>
L’entreprise « Bouslama Mohamed Mécanique Service » a été créé en 2007, dynamique et visant la perfection et l’excellence dans les produits et les services qu’elle procure au marché. BMMS est le représentant officiel de l’un des leaders mondiaux dans le domaine de l’air comprimé « GARDNER DENVER », elle assure la commercialisation, la vente et le service après-vente des équipements de cette gamme.

","Création d'un site web vitrine pour la société BMMS. BMMS est le représentant officiel de l’un des leaders mondiaux dans le domaine de l’air comprimé « GARDNER DENVER ».",reference,http://hypermedia.com.tn/reference/bmms/,2019-08-19
